*r,nercr,transreg,gransgrp,cendiv,st,interconnect,country,usda_region,aggreg
p38,SPP,SPP,SPP_North,WNC,SD,eastern,USA,northern-plains,SD
p39,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,NE
p40,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,NE
p41,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,NE
p42,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,MN
p43,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,MN
p44,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,MN
p45,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,IA
p46,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,WI
p47,WECC_SRSG,WestConnect,WestConnect_South,MTN,NM,western,USA,mountain,NM
p48,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,TX_SPP
p49,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,OK
p50,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,OK
p51,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,OK
p52,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,KS
p53,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,KS
p54,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO
p55,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO
p56,MISO,MISO,MISO_South,WSC,AR,eastern,USA,delta-states,AR
p57,MISO,MISO,MISO_South,WSC,TX,eastern,USA,southern-plains,TX_MISO
p58,MISO,MISO,MISO_South,WSC,LA,eastern,USA,delta-states,LA
p59,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p60,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p61,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p62,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p63,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p64,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p65,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p66,MISO,MISO,MISO_South,WSC,TX,eastern,USA,southern-plains,TX_MISO
p67,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p68,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,MN
p69,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,IA
p70,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,IA
p71,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO
p72,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO
p73,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO
p74,MISO,MISO,MISO_Central,ENC,MI,eastern,USA,lake-states,MI
p75,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,WI
p76,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,WI
p77,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,WI
p78,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,WI
p79,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,WI
p80,PJM,PJM,PJM_West,ENC,IL,eastern,USA,corn-belt,IL_PJM
p81,MISO,MISO,MISO_Central,ENC,IL,eastern,USA,corn-belt,IL_MISO
p82,MISO,MISO,MISO_Central,ENC,IL,eastern,USA,corn-belt,IL_MISO
p83,MISO,MISO,MISO_Central,ENC,IL,eastern,USA,corn-belt,IL_MISO
p84,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO
p85,MISO,MISO,MISO_South,WSC,AR,eastern,USA,delta-states,AR
p86,MISO,MISO,MISO_South,WSC,LA,eastern,USA,delta-states,LA
p87,MISO,MISO,MISO_South,ESC,MS,eastern,USA,delta-states,MS
p88,MISO,MISO,MISO_South,ESC,MS,eastern,USA,delta-states,MS
p89,SERC,SERTP,SERTP,ESC,AL,eastern,USA,southeast,AL
p90,SERC,SERTP,SERTP,ESC,AL,eastern,USA,southeast,AL
p91,SERC,FRCC,FRCC,SA,FL,eastern,USA,southeast,FL
p92,SERC,SERTP,SERTP,ESC,TN,eastern,USA,appalachia,TN
p93,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,KY
p94,SERC,SERTP,SERTP,SA,GA,eastern,USA,southeast,GA
p95,SERC,SERTP,SERTP,SA,SC,eastern,USA,southeast,SC
p96,SERC,SERTP,SERTP,SA,SC,eastern,USA,southeast,SC
p97,SERC,SERTP,SERTP,SA,NC,eastern,USA,appalachia,NC
p98,SERC,SERTP,SERTP,SA,NC,eastern,USA,appalachia,NC
p99,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,VA
p100,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,VA
p101,SERC,FRCC,FRCC,SA,FL,eastern,USA,southeast,FL
p102,SERC,FRCC,FRCC,SA,FL,eastern,USA,southeast,FL
p103,MISO,MISO,MISO_Central,ENC,MI,eastern,USA,lake-states,MI
p104,MISO,MISO,MISO_Central,ENC,MI,eastern,USA,lake-states,MI
p105,MISO,MISO,MISO_Central,ENC,IN,eastern,USA,corn-belt,IN
p106,MISO,MISO,MISO_Central,ENC,IN,eastern,USA,corn-belt,IN
p107,MISO,MISO,MISO_Central,ENC,IN,eastern,USA,corn-belt,IN
p108,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,KY
p109,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,KY
p110,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,KY
p111,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,OH
p112,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,OH
p113,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,OH
p114,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,OH
p115,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,PA
p116,PJM,PJM,PJM_East,SA,WV,eastern,USA,appalachia,WV
p117,PJM,PJM,PJM_East,SA,WV,eastern,USA,appalachia,WV
p118,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,VA
p119,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,PA
p120,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,PA
p121,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,MD
p122,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,PA
p123,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,MD
p124,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,VA
p125,PJM,PJM,PJM_East,SA,DE,eastern,USA,northeast,DE
p126,PJM,PJM,PJM_East,MA,NJ,eastern,USA,northeast,NJ
p127,NPCC_NY,NYISO,NYISO,MA,NY,eastern,USA,northeast,NY_UP
p128,NPCC_NY,NYISO,NYISO,MA,NY,eastern,USA,northeast,NY_NYCLI
p129,NPCC_NE,ISONE,ISONE,NE,VT,eastern,USA,northeast,VT
p130,NPCC_NE,ISONE,ISONE,NE,NH,eastern,USA,northeast,NH
p131,NPCC_NE,ISONE,ISONE,NE,MA,eastern,USA,northeast,MA
p132,NPCC_NE,ISONE,ISONE,NE,CT,eastern,USA,northeast,CT
p133,NPCC_NE,ISONE,ISONE,NE,RI,eastern,USA,northeast,RI
p134,NPCC_NE,ISONE,ISONE,NE,ME,eastern,USA,northeast,ME
p135,nrn5,CAISO,CAISO,PA,MEX,western,MEX,other,MEX
p136,nrn5,CAISO,CAISO,PA,MEX,western,MEX,other,MEX
p137,nrn20,CAN,CAN,PA,BC,western,CAN,other,CAN
p138,nrn20,CAN,CAN,PA,BC,western,CAN,other,CAN
p139,nrn20,CAN,CAN,PA,BC,western,CAN,other,CAN
p140,nrn21,CAN,CAN,MTN,AB,western,CAN,other,CAN
p141,nrn21,CAN,CAN,MTN,AB,western,CAN,other,CAN
p142,nrn22,CAN,CAN,WNC,SK,eastern,CAN,other,CAN
p143,nrn23,CAN,CAN,WNC,MB,eastern,CAN,other,CAN
p144,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,CAN
p145,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,CAN
p146,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,CAN
p147,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,CAN
p148,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,CAN
p149,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,CAN
p150,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,CAN
p151,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,CAN
p152,nrn26,CAN,CAN,NE,NB,eastern,CAN,other,CAN
p153,nrn26,CAN,CAN,NE,NS,eastern,CAN,other,CAN
p154,nrn24,CAN,CAN,NE,NL,quebec,CAN,other,CAN
p155,nrn24,CAN,CAN,NE,NFI,quebec,CAN,other,CAN
p156,nrn26,CAN,CAN,NE,PEI,eastern,CAN,other,CAN
p157,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p158,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p159,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p160,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p161,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p162,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p163,nrn27,MEX,MEX,MEX,CHH,mexico,MEX,other,MEX
p164,nrn27,MEX,MEX,MEX,CHH,mexico,MEX,other,MEX
p165,nrn27,MEX,MEX,MEX,CHH,mexico,MEX,other,MEX
p166,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p167,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p168,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p174,nrn27,MEX,MEX,MEX,SLP,mexico,MEX,other,MEX
p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p176,nrn27,MEX,MEX,MEX,SLP,mexico,MEX,other,MEX
p177,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p178,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p179,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p180,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p181,nrn27,MEX,MEX,MEX,SLP,mexico,MEX,other,MEX
p182,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p183,nrn27,MEX,MEX,MEX,COL,mexico,MEX,other,MEX
p184,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,MEX,other,MEX
p185,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,MEX,other,MEX
p186,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p187,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p188,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p189,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p190,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p191,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,MEX,other,MEX
p192,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p193,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p194,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,MEX
p195,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,MEX
p196,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p197,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,MEX
p198,nrn27,MEX,MEX,MEX,YUC,mexico,MEX,other,MEX
p199,nrn27,MEX,MEX,MEX,ROO,mexico,MEX,other,MEX
p200,nrn27,MEX,MEX,MEX,ROO,mexico,MEX,other,MEX
p201,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,MEX
p202,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,MEX
p203,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,MEX
p204,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,MEX
p205,nrn27,MEX,MEX,MEX,BCS,mexico,MEX,other,MEX
